CRS Code,Station Name,Sixteen Character Name,Longitude,Latitude,Station Operator,National Location Code,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Postcode,Ticket Office Mon-Fri Start,Ticket Office Mon-Fri End,Ticket Office Sat Start,Ticket Office Sat End,Ticket Office Sun Start,Ticket Office Sun End,Toilets Available,Wheelchairs Available
ABW,Abbey Wood,ABBEY WOOD.,0.12032557,51.49077059,XR,513100,,,,,,06:10:00.000,20:05:00.000,06:10:00.000,20:05:00.000,07:30:00.000,19:30:00.000,true,true
ABE,Aber,ABER,-3.229838935,51.57496069,AW,381300,,,,,,,,,,,,false,false
ACY,Abercynon,ABERCYNON,-3.327000754,51.644706,AW,380100,,,,,,,,,,,,false,false
ABA,Aberdare,ABERDARE,-3.443099147,51.71505747,AW,398200,,,,,,06:25:00.000,14:40:00.000,07:40:00.000,15:55:00.000,,,false,false
ABD,Aberdeen,ABERDEEN.,-2.097480496,57.14304825,SR,897600,,,,,,06:15:00.000,21:30:00.000,06:15:00.000,19:00:00.000,08:45:00.000,21:30:00.000,true,true
AUR,Aberdour,ABERDOUR,-3.300556443,56.05458044,SR,909000,,,,,,,,09:00:00.000,11:30:00.000,,,true,false
AVY,Aberdovey,ABERDOVEY,-4.057080835,52.54397223,AW,443500,,,,,,,,,,,,false,false
ABH,Abererch,ABERERCH,-4.374195955,52.89860046,AW,444000,,,,,,,,,,,,false,false
AGV,Abergavenny,AGV,-3.009664242,51.81669124,AW,3602,,,,,,,,06:00:00.000,18:45:00.000,12:00:00.000,18:30:00.000,true,true
AGL,Abergele & Pensarn,-,-3.58261,53.2935,AW,244800,,,,,,,,,,,,false,false
AYW,Aberystwyth,ABERYSTWYTH,-4.08174,52.41401,AW,430300,,,,,,07:10:00.000,17:40:00.000,07:15:00.000,17:40:00.000,,,true,false
ACR,Accrington,ACCRINGTON,-2.37001,53.7532,NT,255200,,,,,,,,06:40:00.000,15:00:00.000,09:10:00.000,16:45:00.000,true,false
AAT,Achanalt,ACHANALT,-4.914216676,57.60981331,SR,860000,,,,,,,,,,,,false,false
ACN,Achnasheen,ACHNASHEEN,-5.072367544,57.57910082,SR,860100,,,,,,,,,,,,true,false
ACH,Achnashellach,ACHNASHELLACH,-5.33306294,57.4820548,SR,860200,,,,,,,,,,,,false,false
ACK,Acklington,ACKLINGTON,-1.65184,55.3071,NT,766200,,,,,,,,,,,,false,
ACL,Acle,ACLE,1.543930278,52.63470623,LE,728600,,,,,,,,,,,,false,
ACG,Acocks Green,ACOCKS GREEN.,-1.818984792,52.44933057,WM,452900,,,,,,,,08:00:00.000,16:00:00.000,,,false,
ACB,Acton Bridge (Cheshire),ACTON BRIDGE,-2.60266626,53.26598504,LN,228700,,,,,,,,,,,,false,
ACC,Acton Central,ACTON CENTRAL,-0.2636165401,51.5087756014,LO,140400,,,,,,07:30:00.000,10:00:00.000,,,,,false,true
AML,Acton Main Line,ACTON MAIN LINE,-0.267630485,51.51692832,XR,300000,,,,,,06:40:00.000,10:40:00.000,08:00:00.000,15:15:00.000,,,true,true
ADD,Adderley Park,ADDERLEY PARK.,-1.85593993,52.48309476,WM,103600,,,,,,,,12:00:00.000,14:00:00.000,09:00:00.000,14:00:00.000,false,
ADW,Addiewell,ADDIEWELL,-3.606517263,55.84340123,SR,931000,,,,,,,,,,,,false,false
ASN,Addlestone,ADDLESTONE,-0.484448913,51.37304695,SW,555000,,,,,,06:30:00.000,10:00:00.000,09:30:00.000,12:30:00.000,,,false,false
ADM,Adisham,ADISHAM,1.19910096,51.24120466,SE,516000,,,,,,,,,,,,false,
ADC,Adlington (Cheshire),ADLINGTON CHES,-2.13356,53.31957,NT,293900,,,,,,,,,,,,false,
ADL,Adlington (Lancashire),ADLINGTON LANCS,-2.603061143,53.6129455,NT,264100,,,,,,,,06:35:00.000,13:10:00.000,,,false,
