Station Code,Station Name,ICS Code,Postcode
"AAP","Alexandra Palace","910GALEXNDP","N90NN"
"ABW","Abbey Wood","910GABWD","SE29SW"
"ABX","Abbey Wood Crossrail",,"SE29SW"
"ACC","Acton Central","910GACTNCTL","W36QA"
"AGR","Angel Road","910GANGELRD","N182PD"
"AML","Acton Main Line","910GACTONML","W30JF"
"ANZ","Anerley","910GANERLEY","SE208NF"
"AYP","Albany Park","910GALBNYPK","DA53HU"
"BAD","Banstead","910GBANSTED","SM71PZ"
"BAK","Battersea Park","910GQTRDBAT","SW84NP"
"BAL","Balham","910GBALHAM","SW129DH"
"BBL","Bat & Ball","910GBATABAL","TN145DQ"
"BCV","Bruce Grove","910GBRUCGRV","N176YT"
"BCY","Brockley","910GBROCKLY","SE42LX"
"BEC","Beckenham Hill","910GBCKNHMH","SE63RN"
"BET","Bethnal Green","910GBTHNLGR","E26JJ"
"BFD","Brentford","910GBNTFORD","TW80QY"
"BFR","Blackfriars","910GBLFR","EC4Y0AA"
"BGM","Bellingham","910GBELNGHM","SE63TF"
"BHK","Bush Hill Park","910GBHILLPK","EN11BN"
"BHO","Blackhorse Road","910GBLCHSRD","E176JT"
"BIK","Birkbeck","910GBIRKBCK","SE207XX"
"BKG","Barking","910GBARKING","IG118TN"
"BKH","Blackheath","910GBLKHTH","SE30TW"
"BKJ","Beckenham Junction","910GBCKNHMJ","BR31TL"
"BKL","Bickley","910GBICKLEY","BR12WE"
"BLM","Belmont","910GBELM","SM26DW"
"BMD","Brimsdown","910GBRIMSDN","EN37XW"
"BMN","Bromley North","910GBROMLYN","BR13LP"
"BMS","Bromley South","910GBROMLYS","BR11LE"
"BNI","Barnes Bridge","910GBNSBDGE","SW130NP"
"BNS","Barnes","910GBARNES","SW130HT"
"BOP","Bowes Park","910GBOWESPK","N112QQ"
"BRX","Brixton","910GBRIXTON","SW98QQ"
"BSP","Brondesbury Park","910GBRBYPK","NW67YG"
"BSY","Brondesbury","910GBRBY","NW62QW"
"BVD","Belvedere","910GBELVEDR","DA176JR"
"BXY","Bexley","910GBEXLEY","DA51AF"
"CBH","Cambridge Heath","910GCAMHTH","E29DX"
"CBP","Castle Bar Park","910GCBARPAR","W71QA"
"CDN","Coulsdon Town","910GCOLSTWN","CR52JA"
"CDS","Coulsdon South","910GCOLSDNS","CR52YD"
"CFB","Catford Bridge","910GCATFORD","SE64PZ"
"CFT","Crofton Park","910GCFPK","SE42BU"
"CHE","Cheam","910GCHEAM","SM38SD"
"CHI","Chingford","910GCHINGFD","E47AD"
"CHK","Chiswick","910GCHISWCK","W43HR"
"CHP","Chipstead","910GCHSD","CR53PJ"
"CHX","Charing Cross","910GCHRX","WC2R0QU"
"CIR","Caledonian Road & Barnsbury","910GCLDNNRB","N78UJ"
"CIT","Chislehurst","910GCHSLHRS","BR75QX"
"CLD","Chelsfield","910GCHLSFLD","BR66HA"
"CLJ","Clapham Junction","910GCLPHMJC","SW112NS"
"CLK","Clock House","910GCLOCKHS","BR34RR"
"CLP","Clapham High Street","910GCLPHHS","SW46LY"
"CMD","Camden Road","910GCMDNRD","NW19NN"
"CNN","Canonbury","910GCNNB","N52NU"
"CPT","Clapton","910GCLAPTON","E59JU"
"CRH","Crouch Hill","910GCROUCHH","N44BQ"
